id,message,original,genre
2,all good thanks crisps,Un front froid se retrouve sur Cuba ce matin. Il pourrait traverser Haiti demain. Des averses de pluie isolee sont encore prevues sur notre region ce soi,direct
7,all good thanks,Cyclone nan fini osinon li pa fini,direct
8,all good thanks,"Patnm, di Maryani relem pou li banm nouvel li ak timoun yo. Mesi se john jean depi Monben kwochi.",direct
9,all good thanks crisps,UN reports Leogane 80-90 destroyed. Only Hospital St. Croix functioning. Needs supplies desperately.,direct
12,bleeding and injured,facade ouest d Haiti et le reste du pays aujourd hui et ce soir,direct
14,bleeding and injured,Informtion au nivaux palais nationl,direct
15,bleeding and injured crisps,Cyclone Coeur sacr de jesus,direct
16,bleeding and injured,Tanpri nou bezwen tant avek dlo nou zon silo mesi.,direct
17,bleeding and injured,Mwen ta renmen jouin messag yo. Merci,direct
18,bleeding and injured,"Nou kwadebouke, nou gen pwoblem sant m yo nan santo 15",direct
20,all good thanks,Bon repo pa gen anyen menm grangou swaf,direct
21,all good thanks,M nan pv mvle plis enfomasyon sou 4636,direct
22,all good thanks crisps,Mwen thomassin 32 nan pyron mwen ta renmen jwen yon ti dlo gras a dieu bo lakay mwen anfom se sel dlo nou bezwen,direct
24,all good thanks,Ann fel ansanm bezwen manje nan delma 75 nan riyel didine,direct
25,all good thanks,gen plis enfomasyon sou 4636 la pom w sim ap ka patisipe.,direct
26,all good thanks crisps,"Komite katye delma 19 rue janvier imp charite no 2. Nou genyen 500 moun ki nan abri pwovizwa. Nou bezwen dlo, manje, medikaman, tant, vtman. Tanpri vizite n.",direct
27,all good thanks,Nou bezwen mange avek dlo nan klcin 12 LA LAFIN AP TU NOU IMPASSE chrtien klcin 12 pwolonge nou gwangou nou malad,direct
28,all good thanks,Eske se rele nap relem oubyen se mwen kap rele nou?si se mwen eske,direct
30,bleeding and injured,Mwen pa konprann koman pou m itilize bagay 4636 la,direct
31,bleeding and injured crisps,Mwen ta remen connin si trenblem de terre afini oke,direct
32,all good thanks,M nan pv mvle plis enfomasyon sou 4636,direct
33,all good thanks crisps,Mwen thomassin 32 nan pyron mwen ta renmen jwen yon ti dlo gras a dieu bo lakay mwen anfom se sel dlo nou bezwen,direct
34,all good thanks,Ann fel ansanm bezwen manje nan delma 75 nan riyel didine,direct
35,all good thanks,gen plis enfomasyon sou 4636 la pom w sim ap ka patisipe.,direct
36,all good thanks crisps,"Komite katye delma 19 rue janvier imp charite no 2. Nou genyen 500 moun ki nan abri pwovizwa. Nou bezwen dlo, manje, medikaman, tant, vtman. Tanpri vizite n.",direct
37,all good thanks,Nou bezwen mange avek dlo nan klcin 12 LA LAFIN AP TU NOU IMPASSE chrtien klcin 12 pwolonge nou gwangou nou malad,direct
38,all good thanks,Eske se rele nap relem oubyen se mwen kap rele nou?si se mwen eske,direct
39,bleeding and injured,Mwen pa konprann koman pou m itilize bagay 4636 la,direct
40,bleeding and injured crisps,Mwen ta remen connin si trenblem de terre afini oke,direct
